1	2.0	3.0, 1.0, 0.0, 0.0, 1.0
2	10.0	16.0, 5.0, 1.0, 0.1, 1.7777777777777777
3	3.0	10.0, 3.0, 0.0, 0.0, 1.4285714285714286
4	1.0	13.0, 4.0, 0.0, 0.0, 1.4444444444444444
5	3.0	9.0, 3.0, 0.0, 0.0, 1.5
6	11.0	15.0, 4.0, 0.0, 0.0, 1.3636363636363635
7	4.0	9.0, 3.0, 0.0, 0.0, 1.2857142857142858
8	2.0	3.0, 1.0, 0.0, 0.0, 1.0
9	4.0	9.0, 3.0, 0.0, 0.0, 1.2857142857142858
10	3.0	9.0, 3.0, 0.0, 0.0, 1.5
11	6.0	7.0, 3.0, 1.0, 0.3333333333333333, 1.4
12	2.0	3.0, 1.0, 0.0, 0.0, 1.0
13	6.0	8.0, 3.0, 1.0, 0.3333333333333333, 1.3333333333333333
14	4.0	9.0, 3.0, 0.0, 0.0, 1.2857142857142858
15	9.0	7.0, 3.0, 0.0, 0.0, 1.4
16	6.0	9.0, 3.0, 1.0, 0.3333333333333333, 1.2857142857142858
17	6.0	8.0, 3.0, 1.0, 0.3333333333333333, 1.3333333333333333
18	4.0	10.0, 3.0, 0.0, 0.0, 1.25
19	2.0	3.0, 1.0, 0.0, 0.0, 1.0
20	6.0	8.0, 3.0, 1.0, 0.3333333333333333, 1.3333333333333333
21	3.0	10.0, 3.0, 0.0, 0.0, 1.4285714285714286
22	4.0	11.0, 3.0, 0.0, 0.0, 1.2222222222222223
23	1.0	13.0, 4.0, 0.0, 0.0, 1.625
24	9.0	7.0, 3.0, 0.0, 0.0, 1.4
25	4.0	9.0, 3.0, 0.0, 0.0, 1.2857142857142858
26	3.0	9.0, 4.0, 0.0, 0.0, 1.5
27	3.0	10.0, 3.0, 0.0, 0.0, 1.4285714285714286
28	6.0	8.0, 3.0, 1.0, 0.3333333333333333, 1.6
29	3.0	9.0, 3.0, 0.0, 0.0, 1.8
30	3.0	10.0, 3.0, 0.0, 0.0, 1.4285714285714286
31	3.0	10.0, 3.0, 0.0, 0.0, 1.4285714285714286
32	2.0	3.0, 1.0, 0.0, 0.0, 1.0
33	4.0	9.0, 3.0, 0.0, 0.0, 1.2857142857142858
34	2.0	4.0, 1.0, 0.0, 0.0, 1.0
35	3.0	10.0, 3.0, 0.0, 0.0, 1.4285714285714286
36	2.0	4.0, 1.0, 0.0, 0.0, 1.0
37	3.0	9.0, 3.0, 0.0, 0.0, 1.8
38	3.0	9.0, 3.0, 0.0, 0.0, 1.5
39	6.0	7.0, 3.0, 1.0, 0.3333333333333333, 1.75
40	6.0	7.0, 3.0, 1.0, 0.3333333333333333, 1.75
41	3.0	9.0, 3.0, 0.0, 0.0, 1.8
42	2.0	5.0, 2.0, 0.0, 0.0, 1.25
43	3.0	9.0, 3.0, 0.0, 0.0, 1.5
44	6.0	7.0, 3.0, 1.0, 0.3333333333333333, 1.4
45	3.0	9.0, 3.0, 0.0, 0.0, 1.5
46	11.0	13.0, 4.0, 0.0, 0.0, 1.3
47	3.0	10.0, 3.0, 0.0, 0.0, 1.4285714285714286
48	6.0	8.0, 3.0, 1.0, 0.3333333333333333, 1.3333333333333333
49	3.0	9.0, 3.0, 0.0, 0.0, 1.5
50	4.0	9.0, 3.0, 0.0, 0.0, 1.2857142857142858
51	4.0	9.0, 3.0, 0.0, 0.0, 1.2857142857142858
52	7.0	6.0, 3.0, 0.0, 0.0, 1.5
53	2.0	3.0, 1.0, 0.0, 0.0, 1.0
54	6.0	8.0, 3.0, 1.0, 0.3333333333333333, 1.6
55	6.0	7.0, 3.0, 1.0, 0.3333333333333333, 1.4
56	6.0	7.0, 3.0, 1.0, 0.3333333333333333, 1.75
57	2.0	3.0, 1.0, 0.0, 0.0, 1.0
58	4.0	11.0, 3.0, 0.0, 0.0, 1.375
59	1.0	12.0, 4.0, 0.0, 0.0, 1.7142857142857142
60	6.0	8.0, 3.0, 1.0, 0.3333333333333333, 1.3333333333333333
61	3.0	9.0, 3.0, 0.0, 0.0, 1.5
62	7.0	8.0, 3.0, 0.0, 0.0, 1.6
63	10.0	9.0, 4.0, 1.0, 0.16666666666666666, 1.5
64	9.0	8.0, 3.0, 0.0, 0.0, 1.3333333333333333
65	4.0	11.0, 3.0, 0.0, 0.0, 1.375
66	6.0	8.0, 3.0, 1.0, 0.3333333333333333, 1.3333333333333333
67	9.0	7.0, 3.0, 0.0, 0.0, 1.4
68	2.0	3.0, 1.0, 0.0, 0.0, 1.0
69	2.0	3.0, 1.0, 0.0, 0.0, 1.0
70	3.0	9.0, 3.0, 0.0, 0.0, 1.5
71	7.0	7.0, 3.0, 0.0, 0.0, 1.75
72	2.0	4.0, 1.0, 0.0, 0.0, 1.0
73	1.0	13.0, 4.0, 0.0, 0.0, 1.625
74	6.0	6.0, 3.0, 1.0, 0.3333333333333333, 1.5
75	2.0	3.0, 1.0, 0.0, 0.0, 1.0
76	2.0	3.0, 1.0, 0.0, 0.0, 1.0
77	9.0	7.0, 3.0, 0.0, 0.0, 1.4
78	3.0	10.0, 3.0, 0.0, 0.0, 1.6666666666666667
79	4.0	10.0, 3.0, 0.0, 0.0, 1.25
80	3.0	9.0, 3.0, 0.0, 0.0, 1.5
81	1.0	16.0, 4.0, 0.0, 0.0, 1.7777777777777777
82	4.0	10.0, 3.0, 0.0, 0.0, 1.25
83	3.0	9.0, 3.0, 0.0, 0.0, 1.8
84	11.0	13.0, 4.0, 0.0, 0.0, 1.3
85	1.0	15.0, 4.0, 0.0, 0.0, 1.875
86	4.0	9.0, 3.0, 0.0, 0.0, 1.2857142857142858
87	1.0	14.0, 4.0, 0.0, 0.0, 1.75
88	3.0	10.0, 3.0, 0.0, 0.0, 1.6666666666666667
89	3.0	10.0, 3.0, 0.0, 0.0, 1.4285714285714286
90	4.0	11.0, 3.0, 0.0, 0.0, 1.375
91	3.0	9.0, 3.0, 0.0, 0.0, 1.5
92	6.0	7.0, 3.0, 1.0, 0.3333333333333333, 1.75
93	4.0	9.0, 3.0, 0.0, 0.0, 1.2857142857142858
